,ID,Name,lon1,lat1,lon2,lat2
175,51c9491751c90d354059c3239639020a4540f00101f9015ac8690000000000c00208,Tearce,20.9279358,42.0413492,21.0938573,42.1461496
176,51baf59a1e1414354059132e3fcb4e0d4540f00101f90156c8690000000000c00208,Dobroshte,21.002785,42.0753331,21.1125416,42.1522535
177,513be5d18db0003540596f8dbe38a7044540f00101f90177b9690000000000c00208,Dzhepchishte,20.9809229,42.014683,21.0302246,42.0464683
178,519bbc129216f234405934f9c1548efe4440f00101f90182b9690000000000c00208,Golema Rechica,20.9268308,41.9627047,20.9702611,41.9957465
179,510bd9d4d40de93440595378d0ecbaf44440f00101f9016d31690000000000c00208,Pirok,20.8922625,41.8838723,20.9568071,41.9195684
180,51beed539ff5fe344059be8eeed6e8034540f00101f90176b9690000000000c00208,Poroj,20.9717444,42.0095289,21.0168779,42.0446849
181,51c9117c1d82b634405908d1b58a59c94440f00101f9017a25690000000000c00208,Selce,20.6921911,41.5639906,20.7563066,41.6106616
182,514f1f813ffc76364059ca5d3a9cafdf4440f00101f9010303690000000000c00208,Shipkovica,22.4250859,41.723618,22.4899149,41.787345
183,512fd516e824873640595d482ccebda84440f00101f9012047630000000000c00207,Pirava,22.4754953,41.2943873,22.547864,41.3379922
184,51dc9e20b1dd8f3640594413cda89ea84440f00101f9012747630000000000c00207,Valandovo,22.5289142,41.2722267,22.5754881,41.3433735
185,51f01bba34d9a4364059c2a8ff07b3bc4440f00101f90193f4680000000000c00208,Vasilevo,22.6340246,41.465968,22.6615012,41.5137502
186,512d27fcadf8d1354059d154f42cadec4440f00101f9011ac6670000000000c00208,Ivankovci,21.7852635,41.8121329,21.8635225,41.891448
187,51c177f6f0c0973440592b22799dc39e4440f00101f90120de620000000000c00207,Vevchani,20.5155626,41.2247997,20.6484598,41.264269
188,51099167f22894364059e6b7431e1ceb4440f00101f9019f98680000000000c00208,Blatec,22.552228,41.7519727,22.643466,41.8865281
189,516592ec6c2381364059b0cd21043ff14440f00101f9019b98680000000000c00207,Vinica,22.4518061,41.868698,22.5672884,41.9042893
190,51fef15eb532e3344059f34707dad3ee4440f00101f901042f690000000000c00208,Dobri Dol,20.8699465,41.8529727,20.9421686,41.8736193
191,512e5adb6f48e234405909e8740fbfea4440f00101f901fe2e690000000000c00208,Vrapchishte,20.871963,41.8267454,20.9404987,41.8498399
192,51f553d2794396354059fa75f1c869f14440f00101f90176186a0000000000c00208,Zelenikovo,21.5703249,41.8699124,21.6083424,41.8984759
193,5196c73fd8ce1635405968f805aa35fa4440f00101f90121e6690000000000c00208,Dobarce,21.0681215,41.9301557,21.1137056,41.975237
194,517083352960203540598f19a88c7ff74440f00101f9011ae6690000000000c00208,Larce,21.0748632,41.8986156,21.1506987,41.9463846
195,51cccddce8082135405935f0a31af6f04440f00101f90118e6690000000000c00208,Sedlarevo,21.0625505,41.8527169,21.1596923,41.9077028
196,51af4cae1864093540591c23d923d4fb4440f00101f90124e6690000000000c00208,Strimnica,21.0082787,41.9489541,21.0500062,41.9793848
197,51b073d3669c10354059011eac5a2dfe4440f00101f90125e6690000000000c00208,Zhelino,21.0369783,41.9612732,21.1186863,42.0067234
198,512cc36e8e29723640593c2eaa4544ed4440f00101f901cea3680000000000c00208,Zrnovci,22.4194908,41.7937911,22.4768472,41.8806931
